c Represent allocation problem as max flow for bipartite graph.
p max 178 1459
n 1 s
n 178 t
a 1 2 17.256
a 1 3 6.28006
a 1 4 21.3861
a 1 5 33.6917
a 1 6 8.45827
a 1 7 43.0269
a 1 8 11.0891
a 1 9 12.2207
a 1 10 4.92221
a 1 11 13.6917
a 1 12 13.0127
a 1 13 18.4724
a 1 14 17.1429
a 1 15 24.611
a 1 16 35.8699
a 1 17 3.22489
a 1 18 6.05375
a 1 19 38.7553
a 1 20 19.2928
a 1 21 13.0693
a 1 22 23.6492
a 1 23 27.7511
a 1 24 18.5856
a 1 25 28.6846
a 1 26 17.4257
a 1 27 20.8204
a 1 28 8.59972
a 1 29 22.3762
a 1 30 10.4102
a 1 31 18.0764
a 1 32 7.72277
a 1 33 17.1146
a 1 34 5.23338
a 1 35 12.0509
a 1 36 5.60113
a 1 37 4.27157
a 1 38 29.505
a 1 39 3.98868
a 1 40 15.7001
a 1 41 7.07214
a 1 42 11.1174
a 1 43 7.75106
a 1 44 14.512
a 1 45 10.9477
a 1 46 48.5997
a 1 47 22.2065
a 1 48 11.7397
a 1 49 15.8133
a 1 50 31.57
a 1 51 7.69448
a 1 52 35.3041
a 1 53 16.2093
a 1 54 38.8685
a 1 55 10.2687
a 1 56 14.8798
a 1 57 19.604
a 1 58 8.76945
a 1 59 11.2871
a 2 82 2147483647
a 2 83 2147483647
a 2 84 2147483647
a 2 85 2147483647
a 2 86 2147483647
a 2 87 2147483647
a 2 88 2147483647
a 2 89 2147483647
a 3 62 2147483647
a 3 63 2147483647
a 3 64 2147483647
a 3 65 2147483647
a 3 66 2147483647
a 3 67 2147483647
a 3 68 2147483647
a 3 71 2147483647
a 3 74 2147483647
a 3 75 2147483647
a 4 62 2147483647
a 4 63 2147483647
a 4 64 2147483647
a 4 65 2147483647
a 4 66 2147483647
a 4 67 2147483647
a 4 68 2147483647
a 4 69 2147483647
a 4 70 2147483647
a 4 71 2147483647
a 4 72 2147483647
a 4 73 2147483647
a 4 74 2147483647
a 4 75 2147483647
a 5 66 2147483647
a 5 67 2147483647
a 5 68 2147483647
a 5 69 2147483647
a 5 70 2147483647
a 5 71 2147483647
a 5 72 2147483647
a 5 73 2147483647
a 5 74 2147483647
a 5 75 2147483647
a 6 60 2147483647
a 6 61 2147483647
a 6 100 2147483647
a 6 103 2147483647
a 6 104 2147483647
a 6 105 2147483647
a 6 118 2147483647
a 6 119 2147483647
a 6 120 2147483647
a 6 121 2147483647
a 6 139 2147483647
a 6 140 2147483647
a 6 156 2147483647
a 6 157 2147483647
a 6 158 2147483647
a 6 160 2147483647
a 6 161 2147483647
a 6 163 2147483647
a 6 164 2147483647
a 6 165 2147483647
a 6 166 2147483647
a 6 167 2147483647
a 6 168 2147483647
a 7 60 2147483647
a 7 61 2147483647
a 7 87 2147483647
a 7 89 2147483647
a 7 90 2147483647
a 7 91 2147483647
a 7 99 2147483647
a 7 101 2147483647
a 7 102 2147483647
a 7 103 2147483647
a 7 104 2147483647
a 7 105 2147483647
a 7 118 2147483647
a 7 120 2147483647
a 7 121 2147483647
a 7 122 2147483647
a 7 137 2147483647
a 7 154 2147483647
a 7 156 2147483647
a 7 157 2147483647
a 8 66 2147483647
a 8 67 2147483647
a 8 68 2147483647
a 8 69 2147483647
a 8 70 2147483647
a 8 72 2147483647
a 8 73 2147483647
a 8 74 2147483647
a 8 75 2147483647
a 9 92 2147483647
a 9 63 2147483647
a 9 68 2147483647
a 9 72 2147483647
a 9 72 2147483647
a 9 75 2147483647
a 9 90 2147483647
a 9 92 2147483647
a 9 111 2147483647
a 9 117 2147483647
a 9 121 2147483647
a 9 169 2147483647
a 9 174 2147483647
a 9 174 2147483647
a 10 62 2147483647
a 10 63 2147483647
a 10 64 2147483647
a 10 65 2147483647
a 10 66 2147483647
a 10 67 2147483647
a 10 68 2147483647
a 10 71 2147483647
a 10 73 2147483647
a 10 74 2147483647
a 10 75 2147483647
a 11 79 2147483647
a 11 80 2147483647
a 11 81 2147483647
a 11 106 2147483647
a 11 107 2147483647
a 11 108 2147483647
a 11 109 2147483647
a 11 110 2147483647
a 11 111 2147483647
a 11 126 2147483647
a 11 127 2147483647
a 11 128 2147483647
a 11 129 2147483647
a 11 130 2147483647
a 11 131 2147483647
a 11 132 2147483647
a 11 133 2147483647
a 11 134 2147483647
a 11 135 2147483647
a 11 138 2147483647
a 11 143 2147483647
a 11 144 2147483647
a 11 145 2147483647
a 11 146 2147483647
a 11 147 2147483647
a 11 148 2147483647
a 11 149 2147483647
a 11 150 2147483647
a 11 151 2147483647
a 11 152 2147483647
a 11 171 2147483647
a 12 93 2147483647
a 12 94 2147483647
a 12 95 2147483647
a 12 96 2147483647
a 12 97 2147483647
a 12 98 2147483647
a 12 100 2147483647
a 12 115 2147483647
a 12 116 2147483647
a 12 117 2147483647
a 12 118 2147483647
a 12 119 2147483647
a 12 120 2147483647
a 12 125 2147483647
a 12 139 2147483647
a 12 140 2147483647
a 12 155 2147483647
a 12 177 2147483647
a 13 76 2147483647
a 13 77 2147483647
a 13 78 2147483647
a 14 82 2147483647
a 14 83 2147483647
a 14 84 2147483647
a 14 85 2147483647
a 14 86 2147483647
a 14 87 2147483647
a 14 88 2147483647
a 14 89 2147483647
a 14 90 2147483647
a 14 91 2147483647
a 14 154 2147483647
a 15 60 2147483647
a 15 82 2147483647
a 15 83 2147483647
a 15 84 2147483647
a 15 85 2147483647
a 15 86 2147483647
a 15 87 2147483647
a 15 88 2147483647
a 15 89 2147483647
a 15 90 2147483647
a 15 91 2147483647
a 15 122 2147483647
a 15 154 2147483647
a 16 93 2147483647
a 16 94 2147483647
a 16 95 2147483647
a 16 96 2147483647
a 16 97 2147483647
a 16 98 2147483647
a 16 99 2147483647
a 16 101 2147483647
a 16 102 2147483647
a 16 112 2147483647
a 16 113 2147483647
a 16 114 2147483647
a 16 115 2147483647
a 16 116 2147483647
a 16 117 2147483647
a 16 118 2147483647
a 16 120 2147483647
a 16 125 2147483647
a 16 135 2147483647
a 16 136 2147483647
a 16 137 2147483647
a 16 138 2147483647
a 16 144 2147483647
a 16 148 2147483647
a 16 152 2147483647
a 16 175 2147483647
a 16 176 2147483647
a 16 177 2147483647
a 17 60 2147483647
a 17 61 2147483647
a 17 90 2147483647
a 17 91 2147483647
a 17 103 2147483647
a 17 104 2147483647
a 17 105 2147483647
a 17 121 2147483647
a 17 156 2147483647
a 17 160 2147483647
a 17 161 2147483647
a 17 163 2147483647
a 17 164 2147483647
a 17 165 2147483647
a 17 166 2147483647
a 17 167 2147483647
a 17 168 2147483647
a 18 60 2147483647
a 18 84 2147483647
a 18 86 2147483647
a 18 87 2147483647
a 18 88 2147483647
a 18 89 2147483647
a 18 90 2147483647
a 18 91 2147483647
a 18 101 2147483647
a 18 102 2147483647
a 18 103 2147483647
a 18 104 2147483647
a 18 121 2147483647
a 18 122 2147483647
a 18 123 2147483647
a 18 124 2147483647
a 18 137 2147483647
a 18 154 2147483647
a 18 156 2147483647
a 18 157 2147483647
a 18 172 2147483647
a 19 169 2147483647
a 19 170 2147483647
a 19 60 2147483647
a 19 63 2147483647
a 19 65 2147483647
a 19 66 2147483647
a 19 67 2147483647
a 19 68 2147483647
a 19 70 2147483647
a 19 72 2147483647
a 19 72 2147483647
a 19 72 2147483647
a 19 73 2147483647
a 19 73 2147483647
a 19 74 2147483647
a 19 75 2147483647
a 19 80 2147483647
a 19 81 2147483647
a 19 90 2147483647
a 19 95 2147483647
a 19 121 2147483647
a 19 125 2147483647
a 19 125 2147483647
a 19 125 2147483647
a 19 125 2147483647
a 19 128 2147483647
a 19 132 2147483647
a 19 133 2147483647
a 19 133 2147483647
a 19 141 2147483647
a 19 158 2147483647
a 19 158 2147483647
a 19 166 2147483647
a 19 169 2147483647
a 19 170 2147483647
a 19 170 2147483647
a 19 175 2147483647
a 20 60 2147483647
a 20 90 2147483647
a 20 91 2147483647
a 20 93 2147483647
