OPO code,Center code,Begin date,End date,Local Transplants,Regional Transplants,KI transplants procured by this OPO for the center,PA transplants procured by this OPO for the center,LI transplants procured by this OPO for the center,IN transplants procured by this OPO for the center,HR transplants procured by this OPO for the center,LU transplants procured by this OPO for the center
ALOB,ALCH-TX1,07/01/2017,06/30/2018,1,1,10,0,3,0,1,0
FLFH,ALCH-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,0
FLMP,ALCH-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
FLUF,ALCH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
FLWC,ALCH-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
GALL,ALCH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
MSOP,ALCH-TX1,07/01/2017,06/30/2018,0,1,1,0,2,0,0,0
SCOP,ALCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
TNDS,ALCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
ALOB,ALUA-TX1,07/01/2017,06/30/2018,1,1,129,4,90,0,25,20
AROR,ALUA-TX1,07/01/2017,06/30/2018,0,1,1,0,3,0,0,2
CADN,ALUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAGS,ALUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAOP,ALUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CASD,ALUA-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
CORS,ALUA-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
CTOP,ALUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLFH,ALUA-TX1,07/01/2017,06/30/2018,0,1,3,0,6,0,1,0
FLMP,ALUA-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,0,0
FLUF,ALUA-TX1,07/01/2017,06/30/2018,0,1,0,0,3,0,0,0
FLWC,ALUA-TX1,07/01/2017,06/30/2018,0,1,3,0,7,0,0,0
GALL,ALUA-TX1,07/01/2017,06/30/2018,0,1,3,0,5,0,0,2
ILIP,ALUA-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
INOP,ALUA-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
LAOP,ALUA-TX1,07/01/2017,06/30/2018,0,1,5,0,3,0,1,0
MNOP,ALUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MOMA,ALUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MSOP,ALUA-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
MWOB,ALUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
